Algorithm,ATE RMSE [m],ATE Mean [m],ATE Max [m],RPE RMSE [m],RPE Mean [m]
LIO-SAM,0.6874585251669716,0.5720324587823156,1.3102848188947747,6.089766934421652,5.163779137145226
FAST-LIO,0.3493176517582686,0.2683699835922481,2.8565803313821543,2.0927861420113443,1.8304219792595122
